
 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns) | Med (ns) | Min (ns) | Max (ns) | StdDev (ns) |                                                 Name                                                 |
+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
|     30.5 |      6613650701 |     20318 | 325507.0 | 342030.5 |    77088 |   607454 |    169025.3 | fused_moe_kernel                                                                                     |
|     19.4 |      4201807455 |     21494 | 195487.5 | 140575.0 |    13600 |  4750153 |    239435.2 | void flashinfer::trtllm_mnnvl_allreduce::twoshotAllreduceKernel<(unsigned char)2, __nv_bfloat16, (b… |
|      6.7 |      1453439123 |     21494 |  67620.7 |  46624.0 |     4896 |  3425488 |    135627.1 | void flashinfer::trtllm_mnnvl_allreduce::rmsNormLamport<__nv_bfloat16, (flashinfer::trtllm_mnnvl_al… |
|      5.4 |      1160222972 |     15637 |  74197.3 |  74239.0 |    72640 |    87040 |       901.0 | nvjet_sm90_tst_256x32_64x5_4x1_v_bz_TNT                                                              |
|      3.7 |       791934434 |     13400 |  59099.6 |  63040.0 |     9856 |    71103 |      9366.4 | nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT                                                       |
|      3.2 |       683330007 |      9278 |  73650.6 |  29504.0 |    27615 |   326591 |     48750.6 | nvjet_sm90_tst_192x192_64x4_1x2_h_bz_coopB_TNN                                                       |
|      2.6 |       560084751 |     10552 |  53078.5 |  62112.0 |    16032 |    85535 |     22293.9 | void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa… |
|      2.6 |       559824985 |     16191 |  34576.3 |  33696.0 |     6976 |   661181 |     20739.4 | ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)                       |
|      2.4 |       519423300 |     10158 |  51134.4 |  61823.5 |     5632 |    81216 |     29322.2 | void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, int, (int)6, (bool)0>(T1 *, const T1 *, long, int… |
|      2.0 |       422377916 |     10158 |  41580.8 |  49568.0 |     6016 |    66560 |     23949.2 | void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vl… |
|      1.7 |       359946625 |     40763 |   8830.2 |   8608.0 |     1632 |    22880 |      5147.1 | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n… |
|      1.6 |       339960048 |     16191 |  20996.9 |  15648.0 |     4064 |    70880 |     11027.9 | _gumbel_sample_kernel                                                                                |
|      1.5 |       332747632 |     10552 |  31534.1 |  36720.0 |     5056 |    85312 |     18128.5 | triton_poi_fused_mul_silu_slice_0                                                                    |
|      1.2 |       268574133 |     10552 |  25452.4 |  29968.0 |     4512 |    40928 |     13810.7 | triton_poi_fused_1                                                                                   |
|      0.9 |       194175792 |     10158 |  19115.6 |  22400.0 |     2976 |    32320 |     11021.2 | triton_poi_fused_add_0                                                                               |
|      0.8 |       183075692 |     10714 |  17087.5 |  20128.0 |     2400 |    27264 |      9381.0 | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(c… |
|      0.7 |       153525703 |     20132 |   7626.0 |   7904.0 |     3264 |    15392 |      3173.9 | void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)12… |
