[2026-08-28 21:50:24] Decode batch, #running-req: 1, #token: 83, token usage: 0.00, accept len: 2.95, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 16.64, #queue-req: 0
[2026-08-28 21:50:25] Decode batch, #running-req: 1, #token: 175, token usage: 0.00, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 240.51, #queue-req: 0
[2026-08-28 21:50:25] Decode batch, #running-req: 1, #token: 274, token usage: 0.00, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 256.69, #queue-req: 0
[2026-08-28 21:50:26] Decode batch, #running-req: 1, #token: 103, token usage: 0.00, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 198.67, #queue-req: 0
[2026-08-28 21:50:26] Decode batch, #running-req: 1, #token: 190, token usage: 0.00, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 227.13, #queue-req: 0
[2026-08-28 21:50:26] Decode batch, #running-req: 1, #token: 281, token usage: 0.00, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 236.62, #queue-req: 0
[2026-08-28 21:50:27] Decode batch, #running-req: 1, #token: 90, token usage: 0.00, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 223.60, #queue-req: 0
[2026-08-28 21:50:27] Decode batch, #running-req: 1, #token: 195, token usage: 0.00, accept len: 2.62, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 274.47, #queue-req: 0
[2026-08-28 21:50:28] Decode batch, #running-req: 1, #token: 290, token usage: 0.00, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 248.05, #queue-req: 0
[2026-08-28 21:50:28] Decode batch, #running-req: 1, #token: 142, token usage: 0.00, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 213.86, #queue-req: 0
[2026-08-28 21:50:28] Decode batch, #running-req: 1, #token: 232, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 233.77, #queue-req: 0
[2026-08-28 21:50:29] Decode batch, #running-req: 1, #token: 52, token usage: 0.00, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 236.05, #queue-req: 0
[2026-08-28 21:50:29] Decode batch, #running-req: 1, #token: 129, token usage: 0.00, accept len: 1.93, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 203.24, #queue-req: 0
[2026-08-28 21:50:30] Decode batch, #running-req: 1, #token: 228, token usage: 0.00, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 259.33, #queue-req: 0
[2026-08-28 21:50:30] Decode batch, #running-req: 1, #token: 110, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 221.46, #queue-req: 0
[2026-08-28 21:50:30] Decode batch, #running-req: 1, #token: 189, token usage: 0.00, accept len: 1.98, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 207.19, #queue-req: 0
[2026-08-28 21:50:31] Decode batch, #running-req: 1, #token: 298, token usage: 0.00, accept len: 2.73, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 285.48, #queue-req: 0
[2026-08-28 21:50:31] Decode batch, #running-req: 1, #token: 109, token usage: 0.00, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 249.41, #queue-req: 0
[2026-08-28 21:50:32] Decode batch, #running-req: 1, #token: 220, token usage: 0.00, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 291.16, #queue-req: 0
[2026-08-28 21:50:32] Decode batch, #running-req: 1, #token: 95, token usage: 0.00, accept len: 2.58, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 250.76, #queue-req: 0
[2026-08-28 21:50:32] Decode batch, #running-req: 1, #token: 187, token usage: 0.00, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 241.37, #queue-req: 0
[2026-08-28 21:50:33] Decode batch, #running-req: 1, #token: 271, token usage: 0.00, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 218.76, #queue-req: 0
[2026-08-28 21:50:33] Decode batch, #running-req: 1, #token: 70, token usage: 0.00, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 186.47, #queue-req: 0
[2026-08-28 21:50:33] Decode batch, #running-req: 1, #token: 150, token usage: 0.00, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 210.18, #queue-req: 0
[2026-08-28 21:50:34] Decode batch, #running-req: 1, #token: 240, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 235.28, #queue-req: 0
[2026-08-28 21:50:34] Decode batch, #running-req: 1, #token: 34, token usage: 0.00, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 216.76, #queue-req: 0
[2026-08-28 21:50:35] Decode batch, #running-req: 1, #token: 117, token usage: 0.00, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 218.50, #queue-req: 0
[2026-08-28 21:50:35] Decode batch, #running-req: 1, #token: 203, token usage: 0.00, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 224.82, #queue-req: 0
[2026-08-28 21:50:35] Decode batch, #running-req: 1, #token: 65, token usage: 0.00, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 212.56, #queue-req: 0
[2026-08-28 21:50:36] Decode batch, #running-req: 1, #token: 143, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 205.43, #queue-req: 0
[2026-08-28 21:50:36] Decode batch, #running-req: 1, #token: 248, token usage: 0.00, accept len: 2.62, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 275.66, #queue-req: 0
[2026-08-28 21:50:37] Decode batch, #running-req: 1, #token: 59, token usage: 0.00, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 216.84, #queue-req: 0
[2026-08-28 21:50:37] Decode batch, #running-req: 1, #token: 144, token usage: 0.00, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 223.95, #queue-req: 0
[2026-08-28 21:50:37] Decode batch, #running-req: 1, #token: 229, token usage: 0.00, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 222.70, #queue-req: 0
[2026-08-28 21:50:38] Decode batch, #running-req: 1, #token: 145, token usage: 0.00, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 231.10, #queue-req: 0
[2026-08-28 21:50:38] Decode batch, #running-req: 1, #token: 221, token usage: 0.00, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 198.92, #queue-req: 0
[2026-08-28 21:50:39] Decode batch, #running-req: 1, #token: 311, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 235.88, #queue-req: 0
[2026-08-28 21:50:39] Decode batch, #running-req: 1, #token: 84, token usage: 0.00, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 205.96, #queue-req: 0
[2026-08-28 21:50:39] Decode batch, #running-req: 1, #token: 170, token usage: 0.00, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 226.74, #queue-req: 0
[2026-08-28 21:50:40] Decode batch, #running-req: 1, #token: 252, token usage: 0.00, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 214.45, #queue-req: 0
[2026-08-28 21:50:40] Decode batch, #running-req: 1, #token: 52, token usage: 0.00, accept len: 1.73, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 168.38, #queue-req: 0
