[2026-08-28 21:48:55] Decode batch, #running-req: 8, #token: 1170, token usage: 0.00, accept len: 3.52, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 544.19, #queue-req: 0
[2026-08-28 21:48:56] Decode batch, #running-req: 8, #token: 2212, token usage: 0.01, accept len: 3.26, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 2485.69, #queue-req: 0
[2026-08-28 21:48:56] Decode batch, #running-req: 2, #token: 564, token usage: 0.00, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 572.73, #queue-req: 0
[2026-08-28 21:48:57] Decode batch, #running-req: 8, #token: 767, token usage: 0.00, accept len: 2.46, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 879.66, #queue-req: 0
[2026-08-28 21:48:57] Decode batch, #running-req: 8, #token: 1594, token usage: 0.00, accept len: 2.58, accept rate: 0.65, cuda graph: True, gen throughput (token/s): 1952.04, #queue-req: 0
[2026-08-28 21:48:58] Decode batch, #running-req: 8, #token: 1689, token usage: 0.00, accept len: 2.53, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 1736.59, #queue-req: 0
[2026-08-28 21:48:58] Decode batch, #running-req: 8, #token: 1405, token usage: 0.00, accept len: 2.49, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 1695.69, #queue-req: 0
[2026-08-28 21:48:58] Decode batch, #running-req: 8, #token: 1850, token usage: 0.01, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 1944.90, #queue-req: 0
[2026-08-28 21:48:59] Decode batch, #running-req: 8, #token: 1296, token usage: 0.00, accept len: 3.22, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 2033.43, #queue-req: 0
[2026-08-28 21:48:59] Decode batch, #running-req: 8, #token: 1313, token usage: 0.00, accept len: 3.38, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 2178.54, #queue-req: 0
[2026-08-28 21:49:00] Decode batch, #running-req: 8, #token: 1851, token usage: 0.01, accept len: 3.32, accept rate: 0.83, cuda graph: True, gen throughput (token/s): 2271.02, #queue-req: 0
[2026-08-28 21:49:00] Decode batch, #running-req: 8, #token: 1253, token usage: 0.00, accept len: 3.10, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 1911.28, #queue-req: 0
[2026-08-28 21:49:01] Decode batch, #running-req: 8, #token: 1578, token usage: 0.00, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 1849.55, #queue-req: 0
[2026-08-28 21:49:01] Decode batch, #running-req: 8, #token: 1435, token usage: 0.00, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 1715.05, #queue-req: 0
[2026-08-28 21:49:02] Decode batch, #running-req: 8, #token: 1801, token usage: 0.00, accept len: 2.50, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 1699.40, #queue-req: 0
[2026-08-28 21:49:02] Decode batch, #running-req: 8, #token: 1573, token usage: 0.00, accept len: 2.91, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 1797.17, #queue-req: 0
[2026-08-28 21:49:03] Decode batch, #running-req: 8, #token: 1899, token usage: 0.01, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 1888.97, #queue-req: 0
[2026-08-28 21:49:03] Decode batch, #running-req: 8, #token: 1418, token usage: 0.00, accept len: 2.70, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 1687.76, #queue-req: 0
[2026-08-28 21:49:04] Decode batch, #running-req: 8, #token: 1532, token usage: 0.00, accept len: 2.84, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 1878.69, #queue-req: 0
[2026-08-28 21:49:04] Decode batch, #running-req: 7, #token: 1580, token usage: 0.00, accept len: 2.79, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 1921.52, #queue-req: 0
[2026-08-28 21:49:05] Decode batch, #running-req: 7, #token: 1440, token usage: 0.00, accept len: 3.00, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 1904.78, #queue-req: 0
[2026-08-28 21:49:05] Decode batch, #running-req: 3, #token: 856, token usage: 0.00, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 1605.78, #queue-req: 0
